Time (s),Binding (nm)
30.2,-0.118707
30.4,-0.116435
30.6,-0.116497
30.8,-0.115404
31.0,-0.114007
31.2,-0.11245
31.4,-0.111198
31.6,-0.110635
31.8,-0.109907
32.0,-0.109878
32.2,-0.110673
32.4,-0.110938
32.6,-0.110787
32.8,-0.111044
33.0,-0.11174
33.2,-0.110711
33.4,-0.110899
33.6,-0.1099
33.8,-0.109051
34.0,-0.107864
34.2,-0.106186
34.4,-0.105992
34.6,-0.105197
34.8,-0.104192
35.0,-0.103848
35.2,-0.104013
35.4,-0.102368
35.6,-0.103695
35.8,-0.103537
36.0,-0.103714
36.2,-0.104044
36.4,-0.103956
36.6,-0.102461
36.8,-0.102608
37.0,-0.101902
37.2,-0.101173
37.4,-0.101642
37.6,-0.101673
37.8,-0.101855
38.0,-0.101203
38.2,-0.101514
38.4,-0.100275
38.6,-0.0996355
38.8,-0.0986439
39.0,-0.0989548
39.2,-0.0985647
39.4,-0.0984853
39.6,-0.098045
39.8,-0.0987593
40.0,-0.0977643
40.2,-0.097513
40.4,-0.0985057
40.6,-0.0984433
40.8,-0.0975904
41.0,-0.0975628
41.2,-0.0977593
41.4,-0.0968425
41.6,-0.0972966
41.8,-0.0963336
42.0,-0.0954149
42.2,-0.0946774
42.4,-0.0936558
42.6,-0.0928483
42.8,-0.092692
43.0,-0.092972
43.2,-0.0933331
43.4,-0.0932379
43.6,-0.0932682
43.8,-0.0934844
44.0,-0.0934764
44.2,-0.0928979
44.4,-0.0926003
44.6,-0.092756
44.8,-0.093265
45.0,-0.0927895
45.2,-0.093061
45.4,-0.0933303
45.6,-0.0924115
45.8,-0.0915917
46.0,-0.0916689
46.2,-0.0907089
46.4,-0.0916973
46.6,-0.0928136
46.8,-0.0934602
47.0,-0.0937298
47.2,-0.0950008
47.4,-0.0944129
47.6,-0.0940241
47.8,-0.0937539
48.0,-0.093184
48.2,-0.0922834
48.4,-0.0922121
48.6,-0.0928081
48.8,-0.0922963
49.0,-0.0933168
49.2,-0.0929185
49.4,-0.0920234
49.6,-0.0903424
49.8,-0.0894872
50.0,-0.0885655
50.2,-0.0884827
50.4,-0.0885512
50.6,-0.0881019
50.8,-0.0890065
51.0,-0.0894358
51.2,-0.0893848
51.4,-0.0893356
51.6,-0.0896524
51.8,-0.0899447
52.0,-0.0896921
52.2,-0.0902748
52.4,-0.089692
52.6,-0.0898505
52.8,-0.0891356
53.0,-0.0877829
53.2,-0.0869639
53.4,-0.0886473
53.6,-0.0884337
53.8,-0.088067
54.0,-0.0893447
54.2,-0.0899808
54.4,-0.0887063
54.6,-0.0884648
54.8,-0.0896979
55.0,-0.0894528
55.2,-0.0878207
55.4,-0.0879556
55.6,-0.0884917
55.8,-0.0878435
56.0,-0.0876516
56.2,-0.0888178
56.4,-0.0878475
56.6,-0.0875297
56.8,-0.0877413
57.0,-0.087733
57.2,-0.0882491
57.4,-0.0879658
57.6,-0.0872841
57.8,-0.086663
58.0,-0.0863335
58.2,-0.0857845
58.4,-0.0861744
58.6,-0.0866345
58.8,-0.0864735
59.0,-0.0867575
59.2,-0.0860371
59.4,-0.0871029
59.6,-0.0864086
59.8,-0.0866152
60.0,-0.086027
60.2,-0.0865179
60.4,-0.0849618
60.6,-0.0864113
60.8,-0.0855374
61.0,-0.086074
61.2,-0.0855478
61.4,-0.0869594
61.6,-0.0863355
61.8,-0.0871854
62.0,-0.0864227
62.2,-0.0863015
62.4,-0.0861669
62.6,-0.0858805
62.8,-0.0854324
63.0,-0.0851331
63.2,-0.0849233
63.4,-0.0838619
63.6,-0.0831904
63.8,-0.0834419
64.0,-0.0834281
64.2,-0.0844125
64.4,-0.0852548
64.6,-0.0866668
64.8,-0.0861368
65.0,-0.0870046
65.2,-0.0871677
65.4,-0.0873801
65.6,-0.0865522
65.8,-0.0868816
66.0,-0.0862949
66.2,-0.0846406
66.4,-0.0837273
66.6,-0.0835812
66.8,-0.0837565
67.0,-0.0833518
67.2,-0.0843949
67.4,-0.084555
67.6,-0.0848927
67.8,-0.0848093
68.0,-0.0857493
68.2,-0.0854639
68.4,-0.0864645
68.6,-0.0869246
68.8,-0.0866282
69.0,-0.0866785
69.2,-0.0859268
69.4,-0.085015
69.6,-0.0842702
69.8,-0.0852195
70.0,-0.084355
70.2,-0.0853427
70.4,-0.0845539
70.6,-0.0848927
70.8,-0.0840026
71.0,-0.0852988
71.2,-0.0851873
71.4,-0.08577
71.6,-0.0849472
71.8,-0.0846689
72.0,-0.0841346
72.2,-0.0834207
72.4,-0.0824071
72.6,-0.0827373
72.8,-0.0826813
73.0,-0.0830028
73.2,-0.0842188
73.4,-0.0856417
73.6,-0.0849914
73.8,-0.0862359
74.0,-0.0850346
74.2,-0.0838618
74.4,-0.0842307
74.6,-0.0841005
74.8,-0.083217
75.0,-0.0823808
75.2,-0.0822614
75.4,-0.0825514
